image_id,filepath,label,source,generator_name,generator_family,width,height,format,collection_date,split,notes,caption,label_a,label_b
defactify_train_4197,data/raw/ai_generated/defactify/defactify_train_4197.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A squadron of four fighter jets flying through a blue sky.,1,3
defactify_train_35369,data/raw/ai_generated/defactify/defactify_train_35369.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,An airplane is parked on a runway and someone is standing nearby.,1,5
defactify_train_21221,data/raw/ai_generated/defactify/defactify_train_21221.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,a cat is sitting on a wooden bench outside,1,5
defactify_train_34415,data/raw/ai_generated/defactify/defactify_train_34415.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A lot of motorcycles parked next to each other.,1,5
defactify_train_35697,data/raw/ai_generated/defactify/defactify_train_35697.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A blue motorcycle parked on a sidewalk next to a street.,1,3
defactify_train_25561,data/raw/ai_generated/defactify/defactify_train_25561.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,a bird  with a long beak flying low over the ocean.,1,1
defactify_train_33867,data/raw/ai_generated/defactify/defactify_train_33867.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A woman who is holding her little dog.,1,3
defactify_train_35360,data/raw/ai_generated/defactify/defactify_train_35360.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A few kittens in a bowl in a white void,1,2
defactify_train_40567,data/raw/ai_generated/defactify/defactify_train_40567.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,people that have their face painted holding a cell phone,1,1
defactify_train_7647,data/raw/ai_generated/defactify/defactify_train_7647.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A man and a woman pose next to a small dog which is wearing a life jacket.,1,3
defactify_train_17240,data/raw/ai_generated/defactify/defactify_train_17240.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,"An empty clean kitchen with island, marble countertops , stove and cabinetry.",1,2
defactify_train_19538,data/raw/ai_generated/defactify/defactify_train_19538.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,Animals surrounding a car and making a large mess.  ,1,2
defactify_train_9389,data/raw/ai_generated/defactify/defactify_train_9389.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A woman standing next to a traffic signal on a street corner.,1,5
defactify_train_30341,data/raw/ai_generated/defactify/defactify_train_30341.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A small bathroom with focus on the shower curtain.,1,5
defactify_train_22120,data/raw/ai_generated/defactify/defactify_train_22120.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A traffic sign sitting on the side of a road.,1,4
defactify_train_32959,data/raw/ai_generated/defactify/defactify_train_32959.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A metallic toilet sitting in a metallic stall.,1,1
defactify_train_2059,data/raw/ai_generated/defactify/defactify_train_2059.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A line of buses in a parking lot with people standing around.,1,1
defactify_train_21010,data/raw/ai_generated/defactify/defactify_train_21010.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A cat is sitting on a white toilet.,1,4
defactify_train_35175,data/raw/ai_generated/defactify/defactify_train_35175.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,The racer drives the motorcycle around the curve.,1,3
defactify_train_31594,data/raw/ai_generated/defactify/defactify_train_31594.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A car parked outside of a gas station with chrome rims.,1,4
defactify_train_16557,data/raw/ai_generated/defactify/defactify_train_16557.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A cat is dressed like santa with a meme put together.,1,3
defactify_train_5893,data/raw/ai_generated/defactify/defactify_train_5893.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A giraffe sticking its head in a feeding basket with trees in background.,1,1
defactify_train_4587,data/raw/ai_generated/defactify/defactify_train_4587.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A large kitchen with white cabinets and two tables.,1,3
defactify_train_36167,data/raw/ai_generated/defactify/defactify_train_36167.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,This is an image of the inside of a nice bathroom.,1,5
defactify_train_39767,data/raw/ai_generated/defactify/defactify_train_39767.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A man riding a bike down a dirt road.,1,5
defactify_train_5067,data/raw/ai_generated/defactify/defactify_train_5067.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A row of motorcycles are parked in a parking garage.,1,3
defactify_train_5559,data/raw/ai_generated/defactify/defactify_train_5559.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,a man taking a picture of prizes in a claw machine game,1,3
defactify_train_19192,data/raw/ai_generated/defactify/defactify_train_19192.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A plate topped with a cake and a hat.,1,4
defactify_train_26122,data/raw/ai_generated/defactify/defactify_train_26122.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,Woman walking down the side walk of a busy night city.,1,4
defactify_train_7504,data/raw/ai_generated/defactify/defactify_train_7504.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,This is what is left of a kitchen in an abandoned restaurant.,1,4
defactify_train_22586,data/raw/ai_generated/defactify/defactify_train_22586.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,The two yellow trains are coming down from the mountain.,1,2
defactify_train_40185,data/raw/ai_generated/defactify/defactify_train_40185.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A blue and yellow double decker bus on a street.,1,3
defactify_train_2669,data/raw/ai_generated/defactify/defactify_train_2669.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A man is feeding a griaffe off of the stand,1,5
defactify_train_4465,data/raw/ai_generated/defactify/defactify_train_4465.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A silver and black train passing under a bridge.,1,1
defactify_train_11861,data/raw/ai_generated/defactify/defactify_train_11861.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,a yellow and white fire hydrant near a building,1,5
defactify_train_12830,data/raw/ai_generated/defactify/defactify_train_12830.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,two bikes parked on the street with pizza delivery boxes attached to their back ends,1,2
defactify_train_12086,data/raw/ai_generated/defactify/defactify_train_12086.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,There's a kitchen with toaster sitting on the counter between the oven and stove,1,2
defactify_train_12277,data/raw/ai_generated/defactify/defactify_train_12277.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A dog sitting in the sidecar of a motorcycle.,1,1
defactify_train_2237,data/raw/ai_generated/defactify/defactify_train_2237.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A green train traveling down train tracks next to another train.,1,5
defactify_train_20692,data/raw/ai_generated/defactify/defactify_train_20692.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A stop sign and a one way sign are on the corner of a town block.,1,4
defactify_train_11204,data/raw/ai_generated/defactify/defactify_train_11204.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A white bird walking through a shallow area of water.,1,2
defactify_train_25898,data/raw/ai_generated/defactify/defactify_train_25898.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,a woman sitting on a wooden park bench smiling at the camera,1,2
defactify_train_29528,data/raw/ai_generated/defactify/defactify_train_29528.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,Two trains traveling down tracks in a station.,1,2
defactify_train_7557,data/raw/ai_generated/defactify/defactify_train_7557.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,there is an air plane that is in the sky ,1,3
defactify_train_7685,data/raw/ai_generated/defactify/defactify_train_7685.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,"Two red buses, headed to the same place, are right next to each other on the road.",1,5
defactify_train_16369,data/raw/ai_generated/defactify/defactify_train_16369.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,Black and white photo of posters and bikes on a brick wall.,1,1
defactify_train_3443,data/raw/ai_generated/defactify/defactify_train_3443.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A tall brick building with a bike parked in front of it.,1,5
defactify_train_39435,data/raw/ai_generated/defactify/defactify_train_39435.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A white urinal in a small red tiled bathroom.,1,3
defactify_train_33491,data/raw/ai_generated/defactify/defactify_train_33491.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A red double decker bus driving past a tall building.,1,5
defactify_train_11104,data/raw/ai_generated/defactify/defactify_train_11104.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A blue bowl sitting on a table with a banana in it. ,1,4
defactify_train_6915,data/raw/ai_generated/defactify/defactify_train_6915.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A flock of sheep graze beneath trees in a green pasture filled with wildflowers.,1,3
defactify_train_39485,data/raw/ai_generated/defactify/defactify_train_39485.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A person laying on an inflatable mattress with two sleeping bags.,1,5
defactify_train_30836,data/raw/ai_generated/defactify/defactify_train_30836.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,many cars driving on a city street near trees,1,2
defactify_train_19131,data/raw/ai_generated/defactify/defactify_train_19131.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,a red fire hydrant in the middle of a green field.,1,3
defactify_train_4732,data/raw/ai_generated/defactify/defactify_train_4732.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,a close up of a toilet with a poster on the wall,1,4
defactify_train_32391,data/raw/ai_generated/defactify/defactify_train_32391.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A yellow pickup truck stopped at an intersection,1,3
defactify_train_82,data/raw/ai_generated/defactify/defactify_train_82.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A landing jet airplane kicking up spray on a wet runway.,1,4
defactify_train_2822,data/raw/ai_generated/defactify/defactify_train_2822.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,a toilet a toilet brush tiles and a door handle,1,2
defactify_train_26902,data/raw/ai_generated/defactify/defactify_train_26902.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,The chef is preparing many flatbread pizza's for the lunch crowd.,1,4
defactify_train_25163,data/raw/ai_generated/defactify/defactify_train_25163.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,BMX bikers waiting in sandy area for something with gear to ride.,1,5
defactify_train_9709,data/raw/ai_generated/defactify/defactify_train_9709.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A man wearing a straw hat and playing the guitar.,1,1
defactify_train_9797,data/raw/ai_generated/defactify/defactify_train_9797.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A family of giraffe standing next to each other.,1,5
defactify_train_14975,data/raw/ai_generated/defactify/defactify_train_14975.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A group of books on top of a book shelf.,1,5
defactify_train_41075,data/raw/ai_generated/defactify/defactify_train_41075.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,Full grown cat laying down and sleeping on top of a car. ,1,5
defactify_train_39802,data/raw/ai_generated/defactify/defactify_train_39802.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,Traditional view of crowded city residences with big bridge at the end of the street.,1,4
defactify_train_35380,data/raw/ai_generated/defactify/defactify_train_35380.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A mirror shows another light in a background of a wonderful bathroom,1,4
defactify_train_32377,data/raw/ai_generated/defactify/defactify_train_32377.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A birthday boy with car shaped cake and candles on it.,1,1
defactify_train_4048,data/raw/ai_generated/defactify/defactify_train_4048.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A man standing in an airport with lots of luggage.,1,4
defactify_train_37162,data/raw/ai_generated/defactify/defactify_train_37162.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,Four air planes are flying in the air leaving fog. ,1,4
defactify_train_23204,data/raw/ai_generated/defactify/defactify_train_23204.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A toilet seat sits on top of a hole in the ground.,1,2
defactify_train_38285,data/raw/ai_generated/defactify/defactify_train_38285.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,Women father around a desk and machinery in a factory.,1,5
defactify_train_11128,data/raw/ai_generated/defactify/defactify_train_11128.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A train stopped at the station to pick up passengers.,1,4
defactify_train_12631,data/raw/ai_generated/defactify/defactify_train_12631.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A bus that is sitting in the street.,1,1
defactify_train_28330,data/raw/ai_generated/defactify/defactify_train_28330.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,a close up of a scooter parked indoors,1,4
defactify_train_19130,data/raw/ai_generated/defactify/defactify_train_19130.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,a red fire hydrant in the middle of a green field.,1,2
defactify_train_13657,data/raw/ai_generated/defactify/defactify_train_13657.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A traffic light glows red on a cloudy day,1,1
defactify_train_28466,data/raw/ai_generated/defactify/defactify_train_28466.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,There is a multi colored train pulling into a station.,1,2
defactify_train_19786,data/raw/ai_generated/defactify/defactify_train_19786.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A train moving along a track near a field.,1,4
defactify_train_7573,data/raw/ai_generated/defactify/defactify_train_7573.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A train is driving down the tracks in front of a building.,1,1
defactify_train_16765,data/raw/ai_generated/defactify/defactify_train_16765.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,a tiled bathroom with a toilet and bathtub inside of it ,1,1
defactify_train_22408,data/raw/ai_generated/defactify/defactify_train_22408.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A row of parked motorcycles sitting next to a tall building.,1,4
defactify_train_35025,data/raw/ai_generated/defactify/defactify_train_35025.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A man talking on a cell phone walking an orange bike across a street.,1,3
defactify_train_35536,data/raw/ai_generated/defactify/defactify_train_35536.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A white toilet sitting next to a red counter with a  sink.,1,4
defactify_train_7977,data/raw/ai_generated/defactify/defactify_train_7977.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A city street with a sign that says fun,1,3
defactify_train_38953,data/raw/ai_generated/defactify/defactify_train_38953.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,"A bathroom sink with a toothbrush, soap dispenser and mirror.",1,1
defactify_train_31065,data/raw/ai_generated/defactify/defactify_train_31065.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,Person riding a four wheeler on a beach towards a bridge.,1,3
defactify_train_38255,data/raw/ai_generated/defactify/defactify_train_38255.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A street sign that indicates that you shouldn't turn left.,1,5
defactify_train_37861,data/raw/ai_generated/defactify/defactify_train_37861.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A building with a clock on the front and other buildings in front of it.,1,1
defactify_train_27977,data/raw/ai_generated/defactify/defactify_train_27977.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,black kids lying on a bench posing on a photo,1,5
defactify_train_38863,data/raw/ai_generated/defactify/defactify_train_38863.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,a parade of motor cycles being watched by a crowd,1,1
defactify_train_28432,data/raw/ai_generated/defactify/defactify_train_28432.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A sign is displayed next to piles of sand.,1,4
defactify_train_15704,data/raw/ai_generated/defactify/defactify_train_15704.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A commuter train traveling down train track next to a rural road.,1,2
defactify_train_28741,data/raw/ai_generated/defactify/defactify_train_28741.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,some cars on a ferry on a body of water,1,1
defactify_train_30530,data/raw/ai_generated/defactify/defactify_train_30530.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A picture of a dog is centered on a stop sign.,1,2
defactify_train_15233,data/raw/ai_generated/defactify/defactify_train_15233.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A bathroom with a small white toilet under a skylight.,1,5
defactify_train_36269,data/raw/ai_generated/defactify/defactify_train_36269.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A train traveling down tracks through a field.,1,5
defactify_train_20707,data/raw/ai_generated/defactify/defactify_train_20707.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,a group of people are crammed in a small area on motor bikes ,1,1
defactify_train_19835,data/raw/ai_generated/defactify/defactify_train_19835.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A train traveling down train tracks next to a lush green hillside.,1,5
defactify_train_38389,data/raw/ai_generated/defactify/defactify_train_38389.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A flock of ducks walking along a muddy road.,1,1
defactify_train_31811,data/raw/ai_generated/defactify/defactify_train_31811.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A polie officer standing next to a  motorcycle parked on the street.,1,5
defactify_train_3620,data/raw/ai_generated/defactify/defactify_train_3620.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,Several beautiful vintage racing motorcycles on public display.,1,2
defactify_train_16535,data/raw/ai_generated/defactify/defactify_train_16535.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A TV sitting on top of a wooden dresser.,1,5
defactify_train_39694,data/raw/ai_generated/defactify/defactify_train_39694.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A person wheeling a hand truck across an open market.,1,4
defactify_train_35042,data/raw/ai_generated/defactify/defactify_train_35042.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A man sitting in a chair holding a baby who is chewing on a remote.,1,2
defactify_train_39542,data/raw/ai_generated/defactify/defactify_train_39542.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,a cell phone painted on a wall near a bike,1,2
defactify_train_3479,data/raw/ai_generated/defactify/defactify_train_3479.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,Two men riding motorcycles down a curvy road.,1,5
defactify_train_1517,data/raw/ai_generated/defactify/defactify_train_1517.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,A bathroom with a bunch of white tiles in it.,1,5
defactify_train_30514,data/raw/ai_generated/defactify/defactify_train_30514.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A city street line with brick buildings and trees.,1,4
defactify_train_41965,data/raw/ai_generated/defactify/defactify_train_41965.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A long bench sitting next to a large fence.,1,1
defactify_train_28574,data/raw/ai_generated/defactify/defactify_train_28574.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,Giraffe in its natural habitat snacking on a tree,1,2
defactify_train_20308,data/raw/ai_generated/defactify/defactify_train_20308.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,"A small bathroom has a toilet, sink, mirror, and a small trash can.",1,4
defactify_train_20643,data/raw/ai_generated/defactify/defactify_train_20643.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,The sign of a restaurant in the outside of the store.,1,3
defactify_train_11403,data/raw/ai_generated/defactify/defactify_train_11403.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A long empty road with an over pass bridge.,1,3
defactify_train_8938,data/raw/ai_generated/defactify/defactify_train_8938.png,ai_generated,defactify,dalle3,diffusion,270,270,png,2026-03-25,,,A white tiled bathroom with black counter top.,1,4
defactify_train_9734,data/raw/ai_generated/defactify/defactify_train_9734.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A woman standing in a kitchen preparing food.,1,2
defactify_train_15896,data/raw/ai_generated/defactify/defactify_train_15896.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A cat curled up in the shade on a door stoop.,1,2
defactify_train_9105,data/raw/ai_generated/defactify/defactify_train_9105.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,Some people sitting at a table eating in a restaurant.,1,3
defactify_train_34671,data/raw/ai_generated/defactify/defactify_train_34671.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,A kitchen with a stove top oven and blue walls.,1,3
defactify_train_1441,data/raw/ai_generated/defactify/defactify_train_1441.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,"The tall, adult giraffe stands behind a fence near a wooden pole.",1,1
defactify_train_8313,data/raw/ai_generated/defactify/defactify_train_8313.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,several ducks in front of a placid river,1,3
defactify_train_23737,data/raw/ai_generated/defactify/defactify_train_23737.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,A zebra and giraffe that is in the dirt.,1,1
defactify_train_7439,data/raw/ai_generated/defactify/defactify_train_7439.png,ai_generated,defactify,midjourney,proprietary,436,436,png,2026-03-25,,,"There are buses, bicycle riders, and Christmas lights on the street.",1,5
defactify_train_26535,data/raw/ai_generated/defactify/defactify_train_26535.png,ai_generated,defactify,sd3,diffusion,1024,1024,png,2026-03-25,,,Two people riding a paddle boat in the middle of a lake.,1,3
defactify_train_18680,data/raw/ai_generated/defactify/defactify_train_18680.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A swan is swimming near snow covered rocks.,1,2
defactify_train_30230,data/raw/ai_generated/defactify/defactify_train_30230.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A man wearing goggles and standing in the snow.,1,2
defactify_train_36488,data/raw/ai_generated/defactify/defactify_train_36488.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A picture of some people that are cooking some food.,1,2
defactify_train_10604,data/raw/ai_generated/defactify/defactify_train_10604.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,A person sitting on a bench with lots of written signs.,1,2
defactify_train_50,data/raw/ai_generated/defactify/defactify_train_50.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,People sitting on a train with one person looking up at a mirror and taking a photo of the reflection with a camera.,1,2
defactify_train_26719,data/raw/ai_generated/defactify/defactify_train_26719.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,signs in an asian language on the side of a building,1,1
defactify_train_15050,data/raw/ai_generated/defactify/defactify_train_15050.png,ai_generated,defactify,sdxl,diffusion,1024,1024,png,2026-03-25,,,The giraffe eats from a reachable limb of the tree.,1,2
defactify_train_15361,data/raw/ai_generated/defactify/defactify_train_15361.png,ai_generated,defactify,sd21,diffusion,768,768,png,2026-03-25,,,a bath room with a toilet and a towel rack,1,1
